X,Y,Z,formation
0,0,-50,Tertiary
0,2000,-50,Tertiary
2000,0,-150,Tertiary
2000,2000,-150,Tertiary
0,0,-300,Upper_Jurassic_3
0,2000,-300,Upper_Jurassic_3
2000,0,-375,Upper_Jurassic_3
2000,2000,-375,Upper_Jurassic_3
0,0,-350,Upper_Jurassic_2
0,2000,-350,Upper_Jurassic_2
2000,0,-425,Upper_Jurassic_2
2000,2000,-425,Upper_Jurassic_2
0,0,-500,Upper_Jurassic_1
0,2000,-500,Upper_Jurassic_1
2000,0,-575,Upper_Jurassic_1
2000,2000,-575,Upper_Jurassic_1
0,0,-530,Mid_Jurassic_3
0,2000,-530,Mid_Jurassic_3
2000,0,-605,Mid_Jurassic_3
2000,2000,-605,Mid_Jurassic_3
0,0,-580,Mid_Jurassic_2
0,2000,-580,Mid_Jurassic_2
2000,0,-655,Mid_Jurassic_2
2000,2000,-655,Mid_Jurassic_2
0,0,-710,Mid_Jurassic_1
0,2000,-710,Mid_Jurassic_1
2000,0,-775,Mid_Jurassic_1
2000,2000,-775,Mid_Jurassic_1
0,0,-760,Lower_Jurassic_2
0,2000,-760,Lower_Jurassic_2
2000,0,-825,Lower_Jurassic_2
2000,2000,-825,Lower_Jurassic_2
0,0,-780,Lower_Jurassic_1
0,2000,-780,Lower_Jurassic_1
2000,0,-845,Lower_Jurassic_1
2000,2000,-845,Lower_Jurassic_1
0,0,-830,Keuper_3
0,2000,-830,Keuper_3
2000,0,-905,Keuper_3
2000,2000,-905,Keuper_3
0,0,-880,Keuper_2
0,2000,-880,Keuper_2
2000,0,-950,Keuper_2
2000,2000,-950,Keuper_2
0,0,-955,Keuper_1
0,2000,-955,Keuper_1
2000,0,-999,Keuper_1
2000,2000,-999,Keuper_1